Ranking;Time;Pontos;Pontos_anteriores;Porcentagem
1;Argentina;1858;1855.2;+2.8
2;France;1840.59;1845.44;-4.85
3;Belgium;1795.23;1798.46;-3.23
4;England;1794.9;1800.05;-5.15
5;Brazil;1788.65;1784.09;+4.56
6;Portugal;1748.11;1745.06;+3.05
7;Netherlands;1742.29;1745.48;-3.19
8;Spain;1727.5;1732.64;-5.14
9;Italy;1724.6;1718.82;+5.78
10;Croatia;1721.07;1717.57;+3.5
11;USA;1681.13;1661.7;+19.43
12;Colombia;1664.28;1655.29;+8.99
13;Morocco;1661.42;1663.39;-1.97
14;Mexico;1661.11;1652.7;+8.41
15;Uruguay;1659.39;1665.99;-6.6
16;Germany;1644.21;1631.22;+12.99
17;Senegal;1624.73;1620.74;+3.99
18;Japan;1621.88;1614.33;+7.55
19;Switzerland;1616.41;1613.44;+2.97
20;IR Iran;1613.96;1608.23;+5.73
21;Denmark;1602.72;1601.31;+1.41
22;Ukraine;1568.86;1553.35;+15.51
23;Korea Republic;1563.99;1566.21;-2.22
24;Australia;1563.93;1554.82;+9.11
25;Austria;1554.86;1546.1;+8.76
26;Hungary;1532.2;1525.13;+7.07
27;Sweden;1531.68;1531.13;+0.55
28;Poland;1531.49;1520.24;+11.25
29;Wales;1531.38;1521.88;+9.5
30;Nigeria;1520.27;1522.26;-1.99
31;Ecuador;1518.22;1519.2;-0.98
32;Peru;1515.82;1512.68;+3.14
33;Serbia;1514.2;1517.43;-3.23
34;Qatar;1507.94;1499.34;+8.6
35;Russia;1504.02;1498.84;+5.18
36;Czechia;1501.47;1494.04;+7.43
37;Egypt;1499.72;1500.38;-0.66
38;Côte d'Ivoire;1498.8;1494.57;+4.23
39;Scotland;1497.46;1506.89;-9.43
40;Türkiye;1495.94;1505.28;-9.34
41;Tunisia;1493.12;1491.15;+1.97
42;Chile;1491.71;1489.82;+1.89
43;Algeria;1482.71;1480.24;+2.47
44;Mali;1477.9;1469.81;+8.09
45;Panama;1475.62;1475.62;-
46;Romania;1468.17;1472.73;-4.56
47;Norway;1467.51;1472.36;-4.85
48;Slovakia;1461.55;1465.73;-4.18
49;Canada;1461.16;1453.76;+7.4
50;Greece;1457.89;1453.95;+3.94
51;Cameroon;1452.59;1452.59;-
52;Costa Rica;1445.38;1437.57;+7.81
53;Saudi Arabia;1443.53;1441.4;+2.13
54;Venezuela;1442.29;1447.2;-4.91
55;Jamaica;1435.33;1421.54;+13.79
56;Paraguay;1430.73;1430.73;-
57;Slovenia;1427.84;1431.4;-3.56
58;Iraq;1420.47;1409.44;+11.03
59;South Africa;1407.67;1410.23;-2.56
60;Republic of Ireland;1399.74;1399.6;+0.14
61;Finland;1394.44;1401.31;-6.87
62;Burkina Faso;1390.38;1399.92;-9.54
63;Congo DR;1388.25;1388.25;-
64;Uzbekistan;1386.58;1376.5;+10.08
65;Cabo Verde;1383.44;1377.06;+6.38
66;Albania;1375.1;1382.69;-7.59
67;United Arab Emirates;1366.45;1355.55;+10.9
68;Ghana;1358.77;1363.42;-4.65
69;North Macedonia;1354.19;1362.17;-7.98
70;Montenegro;1351.72;1342.64;+9.08
71;Jordan;1350.21;1343.6;+6.61
72;Iceland;1346.82;1342.57;+4.25
73;Northern Ireland;1341.05;1333.17;+7.88
74;Bosnia and Herzegovina;1335.6;1343.32;-7.72
75;Georgia;1333.76;1312.45;+21.31
76;Guinea;1324.65;1320.42;+4.23
77;Oman;1323.23;1307.6;+15.63
78;Israel;1311.39;1323.43;-12.04
79;Equatorial Guinea;1308.03;1310.5;-2.47
80;Bahrain;1307.53;1297.32;+10.21
81;El Salvador;1305.02;1306.14;-1.12
82;Honduras;1301.92;1311.43;-9.51
83;Bulgaria;1292.59;1289.9;+2.69
84;Gabon;1287.33;1289.52;-2.19
85;Bolivia;1283.88;1284.55;-0.67
86;Zambia;1278.26;1275.71;+2.55
87;Luxembourg;1277.94;1285.41;-7.47
88;China PR;1275.22;1273.78;+1.44
89;Syria;1266.52;1265.51;+1.01
90;Haiti;1262.5;1262.5;-
91;Curaçao;1262.48;1262.48;-
92;Uganda;1242.15;1246.88;-4.73
93;Palestine;1238.66;1227.2;+11.46
94;Angola;1235.76;1238.11;-2.35
95;Armenia;1229.18;1237.15;-7.97
96;Belarus;1226.54;1232.8;-6.26
97;Benin;1225.68;1225.1;+0.58
98;Trinidad and Tobago;1220.65;1228.05;-7.4
99;Tajikistan;1216.76;1218.89;-2.13
100;Kyrgyz Republic;1213.6;1196.97;+16.63
